protein,drug
hsa:5743,DB00554
hsa:5743,DB00861
hsa:5743,DB01009
hsa:5743,DB00328
hsa:5743,DB00784
hsa:5743,DBSALT000496
hsa:5743,D00169
hsa:5743,DB00316
hsa:5743,DB00749
hsa:5743,DB00712
hsa:5743,DB00244
hsa:5743,DB00461
hsa:5743,DB01138
hsa:5743,DB00870
hsa:5743,DB00991
hsa:5743,DB00812
hsa:5743,DB01398
hsa:5743,DB00482
hsa:5743,DB00533
hsa:5743,DB14006
hsa:5743,DBSALT001045
hsa:5743,DB01397
hsa:5743,DBSALT000864
hsa:5743,DBSALT000466
hsa:5743,DB00573
hsa:5743,DB00814
hsa:5743,DBSALT000949
hsa:5743,D01122
hsa:5743,DB09216
hsa:5743,DB01600
hsa:5743,DBSALT001147
hsa:5743,D01397
hsa:5743,DB14938
hsa:5743,DB13314
hsa:5743,DB06737
hsa:5743,D01565
hsa:5743,DB13514
hsa:5743,DB13783
hsa:5743,D01709
hsa:5743,D01718
hsa:5743,D01765
hsa:5743,DB00469
hsa:5743,DB08797
hsa:5743,DB06725
hsa:5743,D01974
hsa:5743,D02110
hsa:5743,D02290
hsa:5743,DB00939
hsa:5743,D02350
hsa:5743,DB00500
hsa:5743,DB00580
hsa:5743,DB11395
hsa:5743,DB01628
hsa:5743,DB09217
hsa:5743,DB01283
hsa:5743,D03716
hsa:5743,D03717
hsa:5747,DB00619
hsa:5754,DB00619
hsa:5754,DB00317
hsa:5754,DB06626
hsa:5754,DB06616
hsa:5754,D03350
hsa:5754,DBSALT000064
hsa:5754,DB01259
hsa:5754,DB12682
hsa:57665,DB00806
hsa:58190,DB00864
hsa:58190,DB00091
hsa:5831,DB00172
hsa:5834,DB00131
hsa:5836,DB00131
hsa:5837,DB00131
hsa:586,DB00161
hsa:586,DB00167
hsa:586,DB00996
hsa:5860,D00002
hsa:587,DB00167
hsa:587,DB00996
hsa:590,DB00677
hsa:590,DB00981
hsa:590,DB00944
hsa:590,DB00843
hsa:590,DB00527
hsa:590,DB11473
hsa:590,DB00392
hsa:590,DB01101
hsa:590,DB01057
hsa:590,D02729
hsa:590,DB00989
hsa:5972,DB09026
hsa:5972,DB03395
hsa:5972,D03741
hsa:5972,D03743
hsa:5972,D03745
hsa:5979,DB00619
hsa:5979,DB00317
hsa:5979,DB06626
hsa:5979,DB06616
hsa:5979,D03350
hsa:5979,DBSALT000064
hsa:5979,DB01259
hsa:5979,DB12682
hsa:6098,DB00619
hsa:6098,DB00317
hsa:6098,DB06626
hsa:6098,DB06616
hsa:6098,D03350
hsa:6098,DBSALT000064
hsa:6098,DB01259
hsa:6098,DB12682
hsa:613,DB00619
hsa:6240,DB01073
hsa:6240,DB00441
hsa:6240,DB00746
hsa:6241,DB00746
hsa:6259,DB00619
hsa:6259,DB00317
hsa:6259,DB06626
hsa:6259,DB06616
hsa:6259,D03350
hsa:6259,DBSALT000064
hsa:6259,DB01259
hsa:6259,DB12682
hsa:6300,D01840
hsa:6300,D03115
hsa:6300,DB03044
hsa:63036,DB00677
hsa:63036,DB00513
hsa:635,DB04272
hsa:63904,DB00864
hsa:63904,DB00091
hsa:64087,DB00121
hsa:6416,DB00619
hsa:64499,DB00677
hsa:64499,DB00513
hsa:645,DB00140
hsa:64600,DB01101
hsa:64802,D00002
hsa:64816,DB00553
hsa:64816,DB00404
hsa:64816,DB01124
hsa:64816,DB00726
hsa:64816,DB01011
hsa:64816,DB01115
hsa:64816,DB00201
hsa:64816,DB01159
hsa:64816,DB00357
hsa:64816,DB01217
hsa:64816,DB01006
hsa:64816,DB01355
hsa:64816,DB01601
hsa:64816,D02451
hsa:64816,DB00746
hsa:64816,D03778
hsa:64816,D03781
hsa:64816,D03784
hsa:64850,DB00996
hsa:64902,DB00996
hsa:657,DB00619
hsa:658,DB00619
hsa:660,DB00619
hsa:6609,DB00235
hsa:6609,DB00806
hsa:6609,DB00201
hsa:6610,DB00235
hsa:6610,DB00806
hsa:6610,DB00201
hsa:6646,DB00973
hsa:6646,DB06442
hsa:6646,D03734
hsa:6646,D03735
hsa:6652,D00002
hsa:670,DB01101
hsa:6713,DB00857
hsa:6714,DB00619
hsa:6716,DB00548
hsa:6725,DB00619
hsa:6768,DB00677
hsa:6768,DB00513
hsa:6799,DB00316
hsa:6799,DB00350
hsa:683,DB02701
hsa:686,DB00121
hsa:6897,DB00156
hsa:6898,DB00120
hsa:6898,DB00996
hsa:695,DB00619
hsa:7006,DB00619
hsa:7010,DB00619
hsa:7010,DB00317
hsa:7010,DB06626
hsa:7010,DB06616
hsa:7010,D03350
hsa:7010,DBSALT000064
hsa:7010,DB01259
hsa:7010,DB12682
hsa:7015,DB00529
hsa:7015,D02267
hsa:7046,DB00619
hsa:7054,DB00120
hsa:7054,DB00765
hsa:7075,DB00619
hsa:7075,DB00317
hsa:7075,DB06626
hsa:7075,DB06616
hsa:7075,D03350
hsa:7075,DBSALT000064
hsa:7075,DB01259
hsa:7075,DB12682
hsa:7083,DB00544
hsa:7084,DB00544
hsa:7150,DBSALT001805
hsa:7150,D01432
hsa:7150,D01911
hsa:7150,D02168
hsa:7150,DB11617
hsa:7150,DB06159
hsa:7153,DB00773
hsa:7153,DB00779
hsa:7153,DB00537
hsa:7153,D01264
hsa:7153,D01275
hsa:7153,D01747
hsa:7153,DB11616
hsa:7153,D01911
hsa:7153,DBSALT000121
hsa:7153,D02214
hsa:7153,DB00276
hsa:7153,D02333
hsa:7153,DB00444
hsa:7153,DB11617
hsa:7153,DB00997
hsa:7155,DB00773
hsa:7155,DB00779
hsa:7155,DB00537
hsa:7155,D01264
hsa:7155,D01275
hsa:7155,D01747
hsa:7155,DB11616
hsa:7155,D01911
hsa:7155,DBSALT000121
hsa:7155,D02214
hsa:7155,DB00276
hsa:7155,D02333
hsa:7155,DB00444
hsa:7155,DB11617
hsa:7155,DB00997
hsa:7156,DBSALT001805
hsa:7156,D01432
hsa:7156,D01911
hsa:7156,D02168
hsa:7156,DB11617
hsa:7156,DB06159
hsa:7172,DB00244
hsa:7173,DB00763
hsa:7173,DB00550
hsa:7174,DB00677
hsa:7174,DB00513
hsa:7294,DB00619
hsa:7297,DB00619
hsa:7298,DB00544
hsa:7298,DB00293
hsa:7298,D01211
hsa:7298,DB01101
hsa:7298,DB00441
hsa:7298,D03828
hsa:7298,DB00322
hsa:7299,DB00548
hsa:7301,DB00619
hsa:7301,DB00317
hsa:7301,DB06626
hsa:7301,DB06616
hsa:7301,D03350
hsa:7301,DBSALT000064
hsa:7301,DB01259
hsa:7301,DB12682
hsa:7363,DBSALT000426
hsa:7364,DBSALT000426
hsa:7365,DBSALT000426
hsa:7366,DBSALT000426
hsa:7367,DBSALT000426
hsa:7371,DB04272
hsa:7372,DB00544
hsa:7378,DB00544
hsa:7453,DB00763
hsa:7453,DB00550
hsa:7498,DB03147
hsa:7498,DB00437
hsa:7525,DB00619
hsa:7535,DB00619
hsa:759,DB00819
hsa:759,DB01119
hsa:759,DB00999
hsa:759,DB01144
hsa:759,DB00880
hsa:759,DB00909
hsa:759,DB00436
hsa:759,DB00562
hsa:759,DB01194
hsa:759,DBSALT000931
hsa:759,DB00774
hsa:759,DB00703
hsa:759,DB00232
hsa:759,DB01021
hsa:759,DB01031
hsa:759,DB01202
hsa:759,DBSALT000539
hsa:759,DB00606
hsa:759,DB00661
hsa:759,DB00311
hsa:759,D03845
hsa:760,DB00819
hsa:760,DB01119
hsa:760,DB00999
hsa:760,DB01144
hsa:760,DB00880
hsa:760,DB00273
hsa:760,DB00909
hsa:760,DB00436
hsa:760,DB00562
hsa:760,DB01194
hsa:760,DBSALT000931
hsa:760,DB00774
hsa:760,DB00703
hsa:760,DB00232
hsa:760,DB01021
hsa:760,DB01031
hsa:760,DBSALT000539
hsa:760,DB00606
hsa:760,D03845
hsa:761,DB00819
hsa:761,DB00999
hsa:761,DB01144
hsa:761,DB00880
hsa:761,DB00909
hsa:761,DB01194
hsa:761,DBSALT000931
hsa:761,DB00703
hsa:761,DBSALT000539
hsa:761,D03845
hsa:762,DB00819
hsa:762,DB01119
hsa:762,DB00999
hsa:762,DB01144
hsa:762,DB00880
hsa:762,DB00273
hsa:762,DB00909
hsa:762,DB00436
hsa:762,DB00562
hsa:762,DB01194
hsa:762,DBSALT000931
hsa:762,DB00774
hsa:762,DB00703
hsa:762,DB00232
hsa:762,DB01021
hsa:762,DBSALT000539
hsa:762,DB00606
hsa:762,D03845
hsa:763,DB00819
hsa:763,DB00999
hsa:763,DB01144
hsa:763,DB00880
hsa:763,DB00909
hsa:763,DB01194
hsa:763,DBSALT000931
hsa:763,DB00703
hsa:763,DBSALT000539
hsa:763,D03845
hsa:765,DB00819
hsa:765,DB00999
hsa:765,DB01144
hsa:765,DB00880
hsa:765,DB00909
hsa:765,DB01194
hsa:765,DBSALT000931
hsa:765,DB00703
hsa:765,DBSALT000539
hsa:765,D03845
hsa:766,DB00819
hsa:766,DB00999
hsa:766,DB01144
hsa:766,DB00880
hsa:766,DB00909
hsa:766,DB01194
hsa:766,DBSALT000931
hsa:766,DB00703
hsa:766,DBSALT000539
hsa:766,D03845
hsa:767,DB00819
hsa:767,DB00999
hsa:767,DB01144
hsa:767,DB00880
hsa:767,DB00909
hsa:767,DB01194
hsa:767,DBSALT000931
hsa:767,DB00703
hsa:767,DBSALT000539
hsa:767,D03845
hsa:768,DB00819
hsa:768,DB00999
hsa:768,DB01144
hsa:768,DB00880
hsa:768,DB00909
hsa:768,DB01194
hsa:768,DBSALT000931
hsa:768,DB00703
hsa:768,DBSALT000539
hsa:768,D03845
hsa:771,DB00819
hsa:771,DB00999
hsa:771,DB01144
hsa:771,DB00880
hsa:771,DB00909
hsa:771,DB01194
hsa:771,DBSALT000931
hsa:771,DB00703
hsa:771,DBSALT000539
hsa:771,D03845
hsa:780,DB00619
hsa:780,DB00317
hsa:780,DB06626
hsa:780,DB06616
hsa:780,D03350
hsa:780,DBSALT000064
hsa:780,DB01259
hsa:780,DB12682
hsa:79001,DB00170
hsa:79001,DB00266
hsa:7957,DB00864
hsa:7957,DB00091
hsa:79799,DBSALT000426
hsa:80339,DB01101
hsa:80339,DB01083
hsa:80824,DB00864
hsa:80824,DB00091
hsa:81579,DB01101
hsa:8192,DB00677
hsa:8192,DB00513
hsa:8288,DB00936
hsa:8288,DB00316
hsa:8288,DB00550
hsa:8288,DB00255
hsa:8288,DB00746
hsa:834,DB00859
hsa:8398,DB01101
hsa:8399,DB01101
hsa:84152,DB00864
hsa:84152,DB00091
hsa:84171,DB00477
hsa:8435,DB00973
hsa:8435,DB06442
hsa:8435,D03734
hsa:8435,D03735
hsa:84532,DB00131
hsa:84618,DB00806
hsa:84695,DB00477
hsa:84706,DB00996
hsa:84812,DB00235
hsa:84812,DB00806
hsa:84812,DB00201
hsa:8513,DB01101
hsa:8513,DB01083
hsa:8529,DB00553
hsa:8529,DB00404
hsa:8529,DB01124
hsa:8529,DB00726
hsa:8529,DB01011
hsa:8529,DB01115
hsa:8529,DB00201
hsa:8529,DB01159
hsa:8529,DB00357
hsa:8529,DB01355
hsa:8529,DB00746
hsa:85313,DB00864
hsa:8555,DB00864
hsa:8555,DB00091
hsa:8556,DB00864
hsa:8556,DB00091
hsa:8558,DBSALT000800
hsa:8622,DB01223
hsa:8622,DB01427
hsa:8622,DB00277
hsa:8622,DB00235
hsa:8622,DB00806
hsa:8622,DB00201
hsa:8622,DB00651
hsa:8622,DB11450
hsa:8622,D01198
hsa:8622,DB12082
hsa:8622,DB03849
hsa:8622,D01712
hsa:8622,DB00820
hsa:8622,DB01303
hsa:8622,D02042
hsa:8622,DBSALT000347
hsa:8622,D02655
hsa:8622,D02731
hsa:8622,DB06237
hsa:8622,D03260
hsa:8654,DB04272
hsa:8654,DB01223
hsa:8654,DB01427
hsa:8654,DB00277
hsa:8654,DB00235
hsa:8654,DB00806
hsa:8654,DB00201
hsa:8654,DB11450
hsa:8654,D01198
hsa:8654,DB12082
hsa:8654,DB03849
hsa:8654,D01712
hsa:8654,DB00820
hsa:8654,DB01303
hsa:8654,D02042
hsa:8654,DBSALT000347
hsa:8654,D02655
hsa:8654,D02731
hsa:8654,DB06237
hsa:8654,D03260
hsa:8836,DB00158
hsa:8854,DB00755
hsa:8940,DBSALT001805
hsa:8940,D01432
hsa:8940,D01911
hsa:8940,D02168
hsa:8940,DB11617
hsa:8940,DB06159
hsa:8972,DB00284
hsa:8972,DB00491
hsa:8972,DB04878
hsa:8972,D03433
hsa:90,DB00619
hsa:9023,DB00553
hsa:9023,DB00404
hsa:9023,DB01124
hsa:9023,DB00726
hsa:9023,DB01011
hsa:9023,DB01115
hsa:9023,DB00201
hsa:9023,DB01159
hsa:9023,DB00357
hsa:9023,DB01355
hsa:9023,DB00746
hsa:9088,DB00619
hsa:91,DB00619
hsa:91039,DB00677
hsa:9150,DB00864
hsa:9150,DB00091
hsa:93,DB00619
hsa:93650,D00103
hsa:9388,DB01101
hsa:9388,DB01083
hsa:94,DB00619
hsa:94009,DB00677
hsa:94009,DB00513
hsa:9420,DB00553
hsa:9420,DB00404
hsa:9420,DB01124
hsa:9420,DB00726
hsa:9420,DB01011
hsa:9420,DB01115
hsa:9420,DB00201
hsa:9420,DB01159
hsa:9420,DB00357
hsa:9420,DB01355
hsa:9563,DB01101
hsa:9601,DB00266
hsa:9641,DB00795
hsa:9647,DB00864
hsa:9647,DB00091
hsa:983,DBSALT000800
hsa:9945,DB00996
hsa:9955,DB04272
